datetime,outdoor_temperature_deg_celsius,relative_humidity_per_cent,wind_speed_m_per_s,diffuse_horizontal_radiation_Wh_per_m2,direct_normal_radiation_Wh_per_m2,ZONE+00_+00_+00:Zone Operative Temperature [C](Hourly),heating_J,cooling_J,heating_kWh,cooling_kWh,internal_gains_kWh,infiltration_energy_kWh,ventilation_energy_kWh,inside_conduction_energy_kWh,windows_energy_constant_temperature_kWh
2020-07-20 02:00:00,19.95,75.0,2.76,0.0,0.0,24.369813961846248,0.0,0.0,0.0,0.0,0.0,-0.3783309017246968,0.0,1.6121868185764066,-1.2338559168517098
2020-07-20 03:00:00,19.88,71.0,3.17,0.0,0.0,24.34647872308816,0.0,0.0,0.0,0.0,0.0,-0.7700514526130748,0.0,1.5794319443133267,-0.8093804917002518
2020-07-20 04:00:00,19.52,78.0,3.38,0.0,0.0,24.312182355851824,0.0,0.0,0.0,0.0,0.0,-0.5421602683461375,0.0,1.5905073175673428,-1.0483470492212053
2020-07-20 05:00:00,19.35,73.0,3.52,64.35,63.54,24.34683826552132,0.0,0.0,0.0,0.0,0.0,-0.9905449016351044,0.0,-3.0524175338183612,4.0429624354534655
2020-07-20 06:00:00,20.11,73.0,3.59,113.8,326.53,24.420635762870106,0.0,0.0,0.0,0.0,0.0,-0.6382182633432639,0.0,-5.951748078533723,6.589966341876987
2020-07-20 07:00:00,20.14,73.0,2.76,135.6,162.48,24.43436031414749,0.0,0.0,0.0,0.0,0.0,-0.6639872139579989,0.0,-3.2571581567420815,3.9211453707000805
2020-07-20 08:00:00,19.92,72.0,3.31,160.6,96.92,24.435054079971454,0.0,0.0,0.0,0.0,0.0,-0.8584515586482764,0.0,-2.5973258645984014,3.455777423246678
2020-07-20 09:00:00,19.79,64.0,3.03,234.4,206.84,24.453130059475896,0.0,0.0,0.0,0.0,0.0,-1.3780353471032334,0.0,-4.041043886097578,5.4190792332008115
2020-07-20 10:00:00,21.05,57.0,4.21,213.1,432.97,24.48055460141497,0.0,0.0,0.0,0.0,0.0,-1.132981319237159,0.0,-3.6321006003503262,4.765081919587486
2020-07-20 11:00:00,22.71,53.0,4.0,268.4,173.91,24.547149717161687,0.0,0.0,0.0,0.0,0.0,-0.5667754351632401,0.0,-3.6438359786323478,4.210611413795588
